id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
11,Zinoviev Potap Efremovich,"d. Tikhvin, bul. Tulenin, d. 2/5, 159 920",+79840547664,nesterovavarvara@mail.ru,"a. Bodaibo, nab. Broad, d. 71, 816 645",35766,42646,M,186665,89374,1,1
12,Osip V. Baranov,"from. Kalach-on-Don, bul. Bazarnyi, d. 104 to. 45, 103 883",8 (890) 513-9089,shashkovavalentina@hotmail.com,"from. Yuriev-Polsky, ALL. Surikov, d. 922 pp. 730, 137 969",23810,42053,M,,73605,,1
13,Kirill Zimin Isidorovich,"a. Nartkala, nab. Commune, d. 5/6 pp. 768, 755 228",81105600267,merkushevemeljan@gmail.com,"Art. Irkutsk, bul. Amur, d. 2 pp. 75, 702 390",33241,43626,M,,79226,,
14,Tarasov Eustace Glebovich,"COFO Kirov (Vjatka), str. Countryside, d. To 5/9. 9, 275499",+7 (323) 165-6325,tverdislav1994@mail.ru,"COFO Ketchenery, ALL. Krylov, d. 829 to. 6, 257546",34494,43384,M,,86702,,1
15,Guryev Emmanuel Borislavovich,"from. Labytnangi, nab. Darwin, d. 6 pp. 37, 468 132",8 (416) 398-3199,milen_1974@hotmail.com,"Art. Ulan-Ude, ALL. Tsiolkovskii, d. 98, 911 377",22525,41253,M,108010,86031,1,
16,Mr. Sharapov Nikanor Vilorovich,"Art. Bratsk, ul. Volochaivs'ka, d. 186 p. 865, 280122",89011984011,ckalashnikova@rambler.ru,"d. Kashira, w. Professionals, d. To 80. 8, 111953",34737,43056,M,,85063,,1
17,Drozdov Vincent Yevstigneyevich,"Art. Nevyansk, nab. Rosa Luxemburg, d. 9/5, 380907",8 (373) 135-7441,rogovamarfa@gmail.com,"a. Engels, trans. Oleg Koshevogo, d. 10, 406704",26366,41684,M,,56463,,
18,Zoe Nikiforovna Silin,"Perm, nab. Light, d. 748, 397 200",8 446 399 2976,timofeevevdokim@yahoo.com,"from. Noginsk (Mosk.) Emb. Tchaikovsky, d. 80 pp. 513, 574 767",26466,42130,F,,75635,,1
19,Claudia Feliksovna Guryev,"n. Yuzhno-Sakhalinsk, street. Vakhitov, d. 2 050 044",+7 977 432 6073,nikiforkabanov@rambler.ru,"d. Belogorsk (Amur.) ALL. Of Petroleum, d. 93, 851 164",26572,41919,F,224368,77545,1,
20,Agatha Efimovna Queen,"COFO Kabansk, nab. Bratskaya, d. 31, 766 092",82167746073,flukina@yandex.ru,"g. Vladivostok, w. Park, d. 9/1, 528 054",25854,43566,F,,75361,,
21,Elizabeth Bogdanovna Gromova,"COFO Makhachkala, bul. Communist, d. 799 to. 672, 145621",8 (849) 518-4640,nturova@gmail.com,"a. Kungur, w. Keyword, d. 529 to. 66, 162 780",33947,42975,F,,79467,,1
22,Gromov Avtonom Erofeevich,"from. Divnogorsk, nab. Truth, d. 10 pp. 3, 660,519",+7 (735) 435-83-28,trofim2013@gmail.com,"COFO Krasnoufimsk, w. Turgeneva, d. To 775. 7 137 756",34758,42095,M,,89454,,
23,Valery D. Myasnikov,"Onega Str. Zaovrazhnaya, d. 9/8, 254 229",+7 207 190 12 23,miheevradovan@yahoo.com,"from. Vladikavkaz, pr. Berry, d. 1 965 665",25185,41389,F,,96566,,1
24,Belousov Oia Afanasyevna,"a. Kingisepp, ALL. Pugachev, d. 7 to. 51, 313 064",+7 (932) 771-8966,kuprijansuvorov@mail.ru,"g. Balashiha, trans. Volochaevskaya, d. 851 to. 745, 102 233",24238,43727,F,,63535,,1
25,Efimov Samson Aaranovitch,"from. Kirovsk (Lenin.), Str. 60 October, d. 1 in. 28 013 732",8 (034) 415-6169,shirjaevroman@gmail.com,"d. Ruza, w. Makarov, d. 3 to. 3 273 118",30833,40932,M,,97088,,
26,Vishnyakov Zephaniah Harlampevich,"k. Zhukovski, ave. Haharina, d. 123 to. 7/2 167084",8 235 092 1036,haritonovmartjan@yahoo.com,"n. Elnya, trans. Kutuzova, d. 6/6, 340 870",29262,42074,M,,81292,,1
27,Yulia Nikolaevna Maslova,"Art. Sos'va (Hunt.), Str. Nikolaeva, d. 10, 234706",8 692 623 3072,avgust_14@yandex.ru,"from. Yelnya, nab. Ogorodnaya, d. 4 to. 25, 135 059",24908,43526,F,,72850,,
28,Love Filatovich Krylov,"Art. Operate, pr. Deputatsky, d. 3, p. 11, 930257",+7 (181) 629-1894,kornilovakira@gmail.com,"n. Tambov, ALL. Tulenin, d. 1/7 p. 7/6, 196 671",22331,42393,M,,87224,,1
29,Natalya Selezneva Arkhipovna,"d. Yoshkar-Ola, trans. Kalinin, d. To 8. 2/5, 726,367",81447842664,mirzhukov@rambler.ru,"a. Arsenyev, trans. 50 years of the Komsomol, d. 293, 324780",27893,43476,F,,94922,,1
30,Akulina Ilinichna Vinogradova,"Mr. Sheregesh, etc. New, d. 91, 737 188",+7 850 018 59 15,milovan1992@gmail.com,"n. Baikalsk, pr. logs, d. 7 k. 6/4 310516",22884,43426,F,,69495,,
31,Samson Abramovich Belousov,"n. Severomorsk, pr. Montazhnikov d. 4/4 245308",+7 349 248 93 96,rjabovasinklitikija@gmail.com,"Akhtubinsk, etc. Esenina, d. 9 in. 18 734 632",24095,42805,M,,94230,,
32,Sidor Yakubovich Artemyev,"d. Kudymkar, w. L.Tolstogo, d. 4 to. 869, 576 662",+7 896 455 87 94,raisa_03@hotmail.com,"from. Pskov, w. Garage, d. 1 to. 3 731 040",27295,43479,M,154456,74365,1,
33,Natalia Saveliev,"Art. Sortavala, etc.. Labor, d. 831 p. 3/4 161932",8 (529) 699-4144,anzhelika_2004@gmail.com,"a. Nyagan, w. Construction, d. 504 to. 9/9, 976,852",25655,42665,F,216888,98936,1,1
34,Angelina Valerievna Morozova,"Art. Lips, st. Softwood, e. To 6/5. 6, 241,821",82329463039,jakuborlov@yahoo.com,"n. Volokolamsk, bul. Cherry, d. 672 to. 75 015 099",37543,41340,F,,79352,,1
35,Maria Filippovna Teterina,"Art. Krasnogorsk (Mosk.), Bd. Ulyanova, d. 522 pp. 38, 742 843",+7 436 269 2571,ipati_1996@mail.ru,"COFO Rostov, pr. Chernomorsky, d. 540 to. 4, 783,849",24829,40983,F,,75175,,
36,Bobrov Gremislav Gerasimov,"Art. Krasnoyarsk, bul. DEN, d. 5, 563,853",+7 (467) 065-27-99,moiseevaakulina@yandex.ru,"n. Vidnoe, ALL. Koltsov, d. 4/5 in. 1/8, 462 249",31104,42638,M,,86155,,
37,Ravens Christopher Abramovich,"Art. Morshansk, ALL. Miner, d. 802 to. 8/2, 981 102",+7 398 433 19 87,bburova@gmail.com,"a. Vnukovo (meteost.) ALL. Cheriomushki, d. 44 to. 5, 563,188",29453,41421,M,159437,87049,1,1
38,Guryev Mokey Vladlenovich,"d. Krasnoselkup, w. Sakhalinskoye, d. 9 pp. 494, 532 295",8 (689) 640-7274,trofim74@mail.ru,"Art. Yuryuzan Str. Postal, e. To 8/5. 4, 404,875",25945,43364,M,211389,85743,1,
39,Lidia Ivanova Kuzminichna,"d. Orenburg, Trans. Rosa Luxemburg, d. 7/3 to. 2 428 927",+7 (171) 929-00-63,izmailkonstantinov@hotmail.com,"COFO Sergiev Posad, pr. Berry, d. 6/7 631367",37127,41597,F,,132151,,1
40,Clement Ilarionovich Aksenov,"from. Bay, ave. Fadeyeva, d. 173, 481 986",8 525 344 81 92,terentevmatve@rambler.ru,"d. Pushkin, w. Kuibyshev, d. 49 in. 669 763 466",26375,43757,M,253807,73274,1,
41,Mammoth Cyrus Valerievna,"from. Smolensk, ALL. Lena, d. To 5/3. 9, 656 216",8 (537) 129-21-08,julija52@mail.ru,"from. Suntar, pr. International, d. 6, p. 1, 789,519",27690,42803,F,289153,80204,1,1
42,Nikifor Gurevich Morozov,"d. Dudinka, pr. Linear, d. 675 p. 1/2 801552",+7 (871) 887-4444,timur2001@yahoo.com,"a. Yegoryevsk, ALL. Sanatorium, d. 113 p. 8/5, 455 964",28108,42380,M,,76304,,1
43,Rogov Oksana,"COFO Pinega, trans. Station, e. 212 p. 28, 522153",+7 (968) 667-14-41,kornilovemeljan@yahoo.com,"a. Kalach, ALL. Tolstoy, d. 575, 915 937",23864,42006,F,107184,69505,1,
44,Ernest Ilarionovich Gorbachev,"n. Kashhatau, nab. Moss, d. 1/9 in. 465 656 042",+7 (282) 128-6929,simonovgorde@yahoo.com,"Art. Snezhnogorsk (Moorman.) Emb. Taiga, d. 681 pp. 847, 682 241",31130,43740,M,191004,73302,1,
45,Maslov Marian Erofeevich,"Volkhov, trans. 50 years of the Komsomol, d. 4, pp. 84, 893 160",+7 (025) 992-0862,jan32@yandex.ru,"Cherkessk, ALL. Far East, d. 93, 966 838",24976,41443,M,100029,116417,1,1
46,Kharitonov Narkis Timurovich,"from. Uchaly, nab. Lower, d. 4/1, 179 525",+7 877 658 92 38,izot_47@yahoo.com,"of Sosnogorsk, trans. Stakhanovsky, d. 903 pp. 25, 180 981",31154,43746,M,208026,98816,1,
47,Yefim Harlamovich Commissars,"COFO Kashhatau Str. New, d. 412 to. 9/1, 416 273",82906004077,evstafi66@hotmail.com,"White COFO Yar (Tomsk.), Ave. Jubilee, d. 57 p. 4/7 405166",35350,43179,M,138279,92429,1,
48,Angelica Robertovna Sharov,"from. Kirzhach, bul. Decembrists, d. 7/4 p. 3/9, 053 022",8 203 181 20 93,oktjabrina06@yahoo.com,"Art. Kizlyar, nab. O.Koshevogo, d. 8.8 pp. 31, 610 958",32431,41085,F,,93545,,1
49,Yevseyev Praskovja Afanasyevna,"n. Galich, ALL. Sanatornaya, d. 22, 491 375",+7 973 541 17 71,ksenija_56@yahoo.com,"a. Mezen, nab. Cossack, d. 751 to. 1 850 133",27923,43699,F,,71112,,
50,V. Grishin Ostromir,"from. Kogalym, ALL. Dostoevsky d. To 9. 86, 267200",8 848 074 2459,fadeevspartak@rambler.ru,"COFO Silver Ponds, ALL. Shock, d. 31 k. 3/7 980283",36191,43122,M,156691,93793,1,1
51,Antipas A. Moiseev,"d. Kostomuksha ALL. Astrakhan, d. 141, 162 733",+7 (626) 819-3011,januari64@gmail.com,"of Rylsk, nab. Vodnikov, d. 1 k. 17, 416 913",24960,41973,M,170402,83383,1,
52,Nikifor F. Anisimov,"from. Oboyan, trans. Saratov, d. 1 k. 78, 081 611",8 601 629 72 22,rjabovaksenija@rambler.ru,"COFO Apsheronsk, ALL. Kurskaia, d. To 8/1. 4, 818,773",35811,42235,M,,79485,,
53,Vera Gorbunova Yulyevna,"COFO Strezhevoi, w. Zaporozhye, d. 8/6, 512 078",8 (053) 471-7658,krjukovafaina@rambler.ru,"a. Katav-Ivanovsk, bul. Squirrel, d. 56 pp. 197, 150 197",25714,41022,F,,94542,,
54,Izyaslav A. Kalashnikov,"Art. Severobaikalsk, bul. Kurskiy, d. 8.5 pp. 33, 618 790",+7 197 266 12 32,gerasim84@mail.ru,"COFO Asino, w. Elevators, d. 15, pp. 29, 142 958",25664,43497,M,,81784,,1
55,Faina Svyatoslavovna Myasnikov,"Art. Sosnogorsk, trans. Kommunarov d. 2 pp. 3/1 619361",+7 266 141 7161,akulina1981@mail.ru,"Kirzhach, ALL. Queen, d. 43 to. 19, 902 362",34165,40954,F,,80756,,1
56,Regina G. Kolobov,"Mineralnye Vody, trans. Repin, d. To 8. 7/7 411841",+7 (125) 197-77-94,kuprijanseleznev@rambler.ru,"a. Silver Ponds, ul. Builders, d. 9/1, 430 742",25345,41932,F,,89156,,
57,Yegor Sobolev Trifonovich,"n. Khasavyurt, trans. Deadlock, d. 9 pp. 1/9, 038,885",+7 739 149 3929,vorobevsila@yahoo.com,"d. Oha, bul. Panfilov Str. 5/5 in. 89 289801",29426,41968,M,291986,74310,1,
58,Kovalev Emilia D.,"Vologda, ul. Commune, d. 508, 366288",+7 (410) 020-3982,kondratevaregina@mail.ru,"a. Yaksha, nab. Cherry, d. 88, 027 889",24832,41748,F,,75545,,1
59,Jeremiah Adamovich Vishnjakov,"Gremyachinsk (Buryat-.), Ave. Kuznetsov, d. 884 p. 1, 101,467",+7 253 279 02 32,julian_16@gmail.com,"a. Khabarovsk, trans. Furmanova, d. 77 p. 7, 989,642",33337,41814,M,,79987,,
60,Afinogen Ermolaevich Yakushev,"n. Cedar Blvd. Boulevard, d. 9 pp. 54, 586 733",8 777 585 6044,ferapont_46@hotmail.com,"a. Narym, ALL. Moscow, d. 1 k. 64, 676 207",27352,42708,M,,81878,,
61,Naina Veniaminovna Mukhina,"Kovrov, nab. Darwin, d. 9/7 in. 216, 146 484",80784703469,ladimiranisimov@yahoo.com,"Art. Rubtzovsk, ave. Goncharova, d. 4 pp. 40, 375 573",34696,41034,F,,64539,,
62,Sylvester Ermolaevich Likhachev,"from. Kachkanar, ALL. Reclamation, d. To 6. 20, 003 267",+7 104 048 0083,trofimknjazev@yahoo.com,"Tambov, bul. Market, d. 9/2, 113000",32378,41320,M,292627,72634,1,1
63,Zosima Efimevich Markov,"d. Ardon Street. Sholokhov, d. 359, 450 491",+7 466 795 48 30,kim1984@mail.ru,"from. Carpets Str. Pushkina, d. 9, 092 130",29226,41906,M,279788,107149,1,1
64,Lytkina Elizabeth Eduardovna,"COFO Shadrinsk Street. Energy, d. 74 pp. 794, 565 795",8 (976) 208-5348,fadeevrodion@yandex.ru,"from. Galich, nab. Rosa Luxemburg, d. 7, p. 6, 043,042",24131,41937,F,,84345,,
65,Bykov Oktiabrina D.,"n. Rzhev, bul. Shevchenko, d. 5/4 pp. 409, 003 421",8 134 626 4933,shilovignati@hotmail.com,"COFO Yashalta, w. Moss, d. 2/7 pp. 991, 082 128",37142,43212,F,162533,66629,1,
66,Zinoviev Casimir F.,"from. Balashikha, nab. Zaozernaya, d. 2/6 p. 8/4, 381 966",8 812 750 81 97,sinklitikija_18@hotmail.com,"n. Dzhubga, trans. West, d. 2 278 493",28042,43468,M,142194,82801,1,1
67,Mukhina Angelica Kirillovna,"from. Gdov, nab. Kutuzova, d. 6/9, 577 104",+7 246 505 89 62,kir_2000@gmail.com,"from. Great Luke, per. Filler, e. 16 to. 53, 131173",22130,43126,F,,88475,,
68,Valentina Kudryashov,"a. Sheregesh, nab. Krasnogvardejskaya, d. 4 pp. 19, 824 674",+70572553771,lavrenti72@yahoo.com,"Khimki, etc. Lomonosov, d. 4/7 in. 638 089 250",36493,43594,F,,67974,,1
69,Panova Tamara Askoldovna,"from. Aleksandrovsk, bul. Cooperative, d. 86 k. 9/9, 629,718",+7 (834) 918-9358,okalashnikov@mail.ru,"n. Cool Street. International, d. 6 k. 5/2 773415",32762,42594,F,,86084,,
70,Sazonov Ninel Egorovna,"n. Noyabr'sk, pr. Elevatornaya d. 517 pp. 8, 711 690",8 314 516 38 88,kulaginizmail@yahoo.com,"COFO Ershov, ALL. Steppe, d. 8 pp. 1, 410 096",28505,41029,F,,92642,,
71,Subbotin Adrian Guryevich,"from. Plesetsk, w. Peaceful, d. 51 pp. 155, 995 214",+7 671 514 40 57,zveselov@yandex.ru,"COFO Zmeinogorsk, w. Spartacus, d. 647, 074 191",36802,42382,M,,79134,,1
72,Joan O. Avdeeva,"COFO Sosnovy Bor, nab. Krasnoflotskaya, d. 543, 034 129",+7 (746) 739-3251,viktor45@gmail.com,"COFO Hot Key, w. Pervomayskaya. To 3/4. 7, 201406",27911,43164,F,128942,68521,1,
73,Varvara Vyacheslavovna Konstantinova,"k. Tambov, pr. Ul'yanova, d. 9 pp. 78, 937 264",+7 130 465 3597,miroslavnosov@mail.ru,"Art. Apatity, nab. Nina, d. 5/1, pp. 620, 324038",23446,42181,F,,83653,,
74,Vasilisa A. Timofeev,"Art. Krasnoselkup blvd. Wide, d. 6/9, 100 873",+72545142265,kbobrova@mail.ru,"a. Yuriev-Polsky, w. Blucher,. 180 k. 3/2 449363",25215,43637,F,,80389,,
75,Ninel Valerievna Vorontsov,"COFO Mejdurechenskii, pr. Cultures, d. 40 p. 81, 978282",8 015 817 8985,fortunatkonovalov@hotmail.com,"g. Kazan, bul. Makarova, d. 3/2, p. 911, 100080",36342,41516,F,114571,88410,1,
76,Volkova Nonna Yulyevna,"from. Solovki, w. Mendeleyev, d. 13, 170 091",8 210 692 5964,smirnovaakulina@gmail.com,"d. Budennovsk, bul. Bird cherry, d. 8/5 in. 7/3 968527",29756,43134,F,252262,98311,1,
77,Maya Grishina Andreevna,"a. Susuman, ALL. Large, d. 9 k. 149, 127383",+71065366862,demjan_35@yandex.ru,"Mr. Kurtamysh, w. Zoe Kosmodemyanskoy, d. 57 pp. 108, 482 900",32287,41849,F,157525,84042,1,1
78,Belyakov Juvenal Trofimovich,"g Adygeysk, pr. Traffic, d. 4 pp. 17, 294 707",+72939025407,poljakovagalina@hotmail.com,"Ryazan, bul. Pasture, d. 77 p. 23, 416637",27088,42272,M,292780,103312,1,
79,Vlasov Agatha Nathanovna,"Art. Dagomys, bul. Gagarina, d. 9/3, 272 307",82187733753,muravevasvetlana@mail.ru,"a. Lazarevskoye, ALL. Lakeside, d. 249, 212 298",22355,42662,F,,92821,,1
80,Ivan Efimov Kharlampovich,"of Chatou, etc. Rosa Luxemburg, d. 5/3 p. 5/7, 072 074",+7 (073) 491-30-77,pestovaoksana@yandex.ru,"Art. Staraya Russa, w. Municipal, d. 6, 411,155",26744,43336,M,229931,75509,1,
81,Seleznev LUBOV,"d. Kemerovo, w. Adolescence, e. To 734. 6 867 605",+7 (540) 205-13-71,erast_05@yandex.ru,"COFO Mozhaysk, pr. Bolshevistsky, d. 6/8 380363",36370,41603,F,136150,97896,1,
82,Borislav Borisovich Saveliev,"Art. Kasimov str. TBN, d. 2 pp. 5/1 332299",89168096999,morozovisidor@gmail.com,"n. Chaikovskii, pr. Illicha d. 9 pp. 32, 954 968",22367,41514,M,,117336,,
83,Kudryavtsev Spartak Fokich,"k. Nizhnevartovsk, pr. Bratskiy, d. 4, p. 4, 495,771",89753396465,lev_1972@mail.ru,"COFO Yakutsk, ul. Riazanskaia, d. 84 to. 3 503 293",32275,43368,M,,86280,,
84,Faina Vinogradova V.,"COFO Kalevala, ALL. Park, d. 2 p. 727, 463893",+7 212 356 6042,wjudina@yandex.ru,"n. Bykovo (meteost.), Ave. Rowan, d. 44 to. 3 609 485",37399,43525,F,,88174,,
85,Lucias Makarovna Samson,"Ershov, nab. Fishing, d. 8, 846 503",+7 (742) 264-21-17,kasjan_44@hotmail.com,"a. Sibai, w. May 9, d. 95 in. 7/3 856463",23797,42226,F,143835,78798,1,
86,Denis Zhdanov Aaranovitch,"a. Karpinsk, w. Tips, d. 780, 640 286",8 (111) 227-80-31,irakli1982@gmail.com,"a. Pavlovskaya, nab. Lunacharskogo, d. 463 pp. 55, 901 151",23274,43720,M,,98009,,
87,Auxentios Daniilovich Kostin,"COFO Chatou, ALL. Space, d. 392 to. 8/3, 300046",+7 (048) 177-70-69,radislav98@hotmail.com,"Kyzyl, bul. Martha 8, d. To 2/4. 1 088 095",31466,41618,M,,99158,,1
88,Larisa Andreevna Mironov,"a. Taldom Str. Highway, d. 30, 915 361",8 (378) 479-18-10,milovan2018@yandex.ru,"from. Zhigulevsk, w. Road racing, d. 940 to. 5/2, 870 024",36624,42849,F,265483,83154,1,1
89,Alevtina Ivanovna Filippova,"COFO Orenburg, bul. Tomsk, d. 16, 858 096",8 746 047 26 59,valerjanvorontsov@rambler.ru,"Kovrov, etc. East, d. 8/7, 732 185",33863,43738,F,,78318,,1
90,Sergeeva Sofia Tarasovna,"a. Lotoshino, w. Borovoe, d. 77 to. 95, 858 804",86213370204,tsharapova@hotmail.com,"Art. Borovsk, nab. Haharina, d. 706, p. 4, 714,538",32979,42499,F,,64257,,
91,Cyrus Arkadievna Zinoviev,"Mr. Shenkursk, w. Nikitin, d. 5/3, 251902",8 (211) 039-2723,blohinavksenti@yahoo.com,"COFO Kirov (Vjatka), str. Marx, d. 6/3 p. 3/6, 070 584",37503,41593,F,,92957,,
92,Catherine G. Sharov,"n. Seimchan, ALL. Minin, d. 18 to. 3 262 838",+7 296 465 24 34,eremegavrilov@mail.ru,"Sochi, nab. Pokrovskaya, d. 8 to. 67, 531 803",37097,41875,F,208034,68555,1,
93,Grishina Svetlana L.,"of Tomari, w. Matrosov, d. 1 to. 3 199 505",+7 847 394 0991,qmarkov@yahoo.com,"d. Miass, bul. Azine, d. 1/6, 165 372",24509,41089,F,,94992,,
94,Mstislav Yevstigneyevich Andreev,"Baikalsk, ul. Tabloid, d. 2/7, 542 461",8 158 544 86 92,apetrov@mail.ru,"Anadyr, ALL. Installers, d. 7/7 pp. 594, 945 835",37534,42391,M,,89267,,
95,Belousov Faina Timurovna,"d. Sarapul, w. Meadow, d. 49 pp. 48, 307 961",+75994715839,averjanefremov@yahoo.com,"from. Ivdel, ALL. Solochov, d. 22 k. 2/3 853358",28234,43451,F,,97670,,1
96,Blokhin Luchezar Yakubovich,"of Shilka, w. Distinct, d. 768 pp. 64, 525 567",8 075 414 10 11,valentinnoskov@mail.ru,"from. Aprelevka, trans. Cedar, d. 1/8, 139850",32546,43395,M,,81484,,
97,Zoe Veniaminovna Nikolaev,"n. Snezhinsk, ul. Taman, d. 764 to. 59, 155864",+79766067787,mili_1973@rambler.ru,"COFO Achinsk, trans. Kuznetsova, d. 90 p. 5, 066,721",24051,40919,F,,82626,,
98,Orlova Victoria Vladislavovna,"n. Nefedova Str. Guards, d. 73, 373 250",+7 (083) 417-25-66,aleksandr68@yandex.ru,"n. Yaroslavl, trans. Kommunisticheskaya d. 7.3 pp. 72, 624 695",33120,41176,F,,92905,,1
99,Bobrov Methodius Benediktovich,"COFO Krasnoural'sk, w. Morozova, d. To 8. 7 323120",+7 382 895 64 75,moise2011@hotmail.com,"Art. Tyumen, nab. Pirogov, d. 62 803 122",28096,43117,M,149296,68905,1,1
100,Seliverstov Irakli Elizarovich,"Art. Meleuz, pr. Altaiskii, d. 9/6, 597,369",8 169 295 9835,gromovaalina@mail.ru,"Derbent, etc.. Chestnut, d. 2/7, 268 764",24476,43328,M,,86097,,1
101,Stanislav V. Belov,"Art. Kingisepp, ALL. Halturina, d. 957 to. 241, 329809",+7 809 578 9919,vseslavanisimov@rambler.ru,"Aleksin, w. Pavlov, d. 1 p. 82, 784056",27882,41505,M,207085,84094,1,1
102,Zykov Glafira Askoldovna,"from. Zavyalikha, pr. Karalenka, d. 2 to. 8, 839 034",+79543634078,efremovvatslav@hotmail.com,"d. Baltiysk, nab. Autumn, d. 75, 517 507",29324,41632,F,,89341,,
103,Comrade. Melnikov Artem A.,"n. Yuzhnouralsk, w. Peter the Great, d. 777, 275739",+77698857458,denis_83@mail.ru,"Mr. Moore Str. Bazhov, d. 5/8 in. 802 268 028",31189,42443,M,,86336,,1
104,Savin Philip Gertrudovich,"from. Murmansk, bul. Quiet, d. 86 pp. 95, 447 654",84045928561,belousovdobromisl@yandex.ru,"Art. Neftekamsk, ALL. Friendship, d. 5, 530,582",32168,41381,M,,110196,,
105,Andronicus V. Bogdanov,"from. Ardon Street. Circumferential, d. 85 p. 28, 844291",+71587117826,judinvelimir@rambler.ru,"a. Yurievets (John.), Str. Tips d. 2 to. 621, 358244",34409,41061,M,185854,77059,1,
106,Xenia Ilinichna Burov,"d. Yegoryevsk, nab. Border, d. 9/8 in., 4/7 054966",+7 250 820 3227,radim35@yandex.ru,"d. Poyarkovo blvd. Karl Marx, d. 7 k. 4/2 628689",23198,41308,F,285295,71706,1,
107,Ignatov Bazhen Ye,"COFO Shelehov, w. Home, d. 92 p. 85, 147653",8 293 099 09 95,fomichevajulija@gmail.com,"d. Usman, w. Karl Libknehta, d. To 3/5. 1 392 342",29121,42626,M,,71096,,
108,Larisa Lapina,"a. Tyrnyauz blvd. School, d. 1, 120332",+7 378 739 77 78,vsemiluvarov@rambler.ru,"COFO Severodvinsk, bul. Minsk, d. 8, pp. 210, 567 253",33866,42346,F,219175,92673,1,
109,Krylov Thekla Andreevna,"a. Karabulak, ALL. Central, d. 7/3 in. 262 691 306",8 262 647 9627,isaevataisija@rambler.ru,"COFO Tokma, nab. Embankment, d. 4/3, 445 319",24259,42456,F,,77754,,1
110,Kasian Edgardovich Commissars,"COFO Izhevsk, ul. International, d. 4/2, pp. 69, 262 135",86098247632,wpanfilova@gmail.com,"COFO Severouralsk, bul. Belyaev, d. 212 to. 897, 062 002",25314,42858,M,,79114,,1
111,Akim Frolovich Zimin,"d. Narym, w. State farm, d. 3/7, 701 610",+7 (660) 136-7575,drozdovaangelina@mail.ru,"Art. Pushkino (Mosk.), Ave. Lower, d. 970, 950 056",29179,43470,M,259037,79654,1,1
112,Evseev Felix Gertrudovich,"Baltiysk, bul. Tereshkovoy d. 7/7 p. 3, 199,112",+7 (737) 705-0108,alekse1985@rambler.ru,"a. Nizhny Tagil, st. Voronezh, d. 596 p. 7/3 331 208",32722,43749,M,289938,80701,1,
113,Ukrainians Herman Davidovich,"n. Carpet, bul. Berry, d. 165 to. 155, 479917",8 (097) 901-13-05,kononvlasov@yandex.ru,"COFO Ust-Barguzin, ul. Volochaivs'ka, d. 4 to. 130, 362 349",23564,41730,M,264954,80088,1,
